Islands,20,10,11,12,30,40,130,140,120,121,122,110,80,81,82,50,100,60,62,61,90,70,71,72,160,170,180,190
West Indies,"89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","90,0,0,10","1,0,0,99","90,0,5,5","90,0,5,5","90,0,5,5","89,5,1,5","23,66,10,1","3,86,10,1","23,66,10,1","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","23,66,10,1","3,86,10,1","23,66,10,1","89,1,0,10","75,0,0,25","75,0,0,25","30,10,0,10"
Canaries,"89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","90,0,0,10","1,0,0,99","90,0,5,5","90,0,5,5","90,0,5,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","85,5,0,10","75,0,0,25","75,0,0,25","30,10,0,10"
Shetlands,"89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","90,0,0,10","1,0,0,99","90,0,5,5","90,0,5,5","90,0,5,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,1,0,10","75,0,0,25","75,0,0,25","30,10,0,10"
Faroes,"89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","90,0,0,10","1,0,0,99","90,0,5,5","90,0,5,5","90,0,5,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,5,1,5","89,1,0,10","75,0,0,25","75,0,0,25","30,10,0,10"
Saint Helena,"90,0,0,10","90,0,0,10","90,0,0,10","90,0,0,10","90,0,0,10","90,0,0,10","90,0,0,10","1,0,0,99","90,0,0,10","90,0,0,10","90,0,0,10","90,0,0,10","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","85,0,0,15","75,0,0,25","75,0,0,25","40,0,0,10"
Maldives,"90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,0,0,10","1,0,0,99","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","85,0,0,15","75,0,0,25","75,0,0,25","40,0,0,10"
"Other Micronesia,Melanesia,Polynesia","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,0,0,10","1,0,0,99","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","90,5,0,5","85,0,0,15","75,0,0,25","75,0,0,25","40,0,0,10"
Madeira,"93,1,1,5","93,1,1,5","93,1,1,5","93,1,1,5","93,1,1,5","93,1,1,5","90,0,0,10","1,0,0,99","80,0,5,5","80,0,5,5","80,0,5,5","90,0,0,10","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","94,1,0,5","95,0,0,5","94,1,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","90,5,0,10","75,0,0,25","75,0,0,25","20,20,0,10"
Andamans,"93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","90,0,0,10","1,0,0,99","80,0,5,5","80,0,5,5","80,0,5,5","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","90,5,0,10","75,0,0,25","75,0,0,25","40,0,0,10"
Nicobars,"93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","90,0,0,10","1,0,0,99","80,0,5,5","80,0,5,5","80,0,5,5","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","90,5,0,10","75,0,0,25","75,0,0,25","40,0,0,10"
Sundaland islands,"93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","90,0,0,10","1,0,0,99","80,0,5,5","80,0,5,5","80,0,5,5","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","93,5,1,1","90,5,0,10","75,0,0,25","75,0,0,25","40,0,0,10"
Azores,"94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","1,0,0,99","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","85,0,0,15","75,0,0,25","75,0,0,25","20,20,0,10"
Mascarenes,"94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","1,0,0,99","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","94,0,1,5","85,0,0,15","75,0,0,25","75,0,0,25","20,20,0,10"
Cape Verde,"94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","1,0,0,99","90,5,0,5","90,5,0,5","90,5,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","85,0,0,15","75,0,0,25","75,0,0,25","35,5,0,10"
Socotra,"94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","1,0,0,99","90,5,0,5","90,5,0,5","90,5,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","85,0,0,15","75,0,0,25","75,0,0,25","35,5,0,10"
Seychelles,"94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,1,0,5","1,0,0,99","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","85,5,0,10","75,0,0,25","75,0,0,25","35,5,0,10"
Samoa,"94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,1,0,5","1,0,0,99","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","85,5,0,10","75,0,0,25","75,0,0,25","35,5,0,10"
"Sao Tome, Principe, Annobon, Comoros","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","90,0,0,10","1,0,0,99","90,0,0,10","90,0,0,10","90,0,0,10","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","85,0,0,15","75,0,0,25","75,0,0,25","40,0,0,10"
Hawaii,"95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","90,0,0,10","1,0,0,99","90,0,0,10","90,0,0,10","90,0,0,10","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","95,0,0,5","85,0,0,15","75,0,0,25","75,0,0,25","20,20,0,10"
Fiji,"95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","94,1,0,5","1,0,0,99","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","95,3,1,1","85,5,0,10","75,0,0,25","75,0,0,25","35,5,0,10"
Solomons,"98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","90,0,0,10","1,0,0,99","94,0,1,5","94,0,1,5","94,0,1,5","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","85,5,0,10","75,0,0,25","75,0,0,25","40,0,0,10"
Vanuatu,"98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","90,0,0,10","1,0,0,99","94,0,1,5","94,0,1,5","94,0,1,5","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","98,0,1,1","85,5,0,10","75,0,0,25","75,0,0,25","40,0,0,10"
Antarctica continent,"0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,10","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
Tonga,"94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,1,0,5","1,0,0,99","94,1,0,5","94,1,0,5","94,1,0,5","94,1,0,5","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","94,5,0,1","85,5,0,10","75,0,0,25","75,0,0,25","35,5,0,10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
